Year,Month,Station,LimacinaDensity,Log10LimDensity,AragSatHorDepth,Arag40m,upper100mArag,LimDen_3mo,Log10LimDen_3mo,AragSat_3mo,Arag40m_3mo,upper100mArag_3mo
2006,1,,,,,,,3.992183957,0.476743764,54,1.476898024,1.586091909
2006,2,NH05,0,0,48,1.279282294,1.514298669,2.352420932,0.378121805,54,1.486357769,1.62848774
2006,3,NH05,4.704841863,0.75624361,60,1.693433244,1.742676812,6.555457849,0.633987534,56,1.550152915,1.686694387
2006,4,NH05,14.96153168,1.145718992,60,1.677743207,1.803107681,12.98820396,0.904578003,45,1.336347551,1.4586156
2006,5,NH05,19.29823833,0.811771406,15,0.637866202,0.830062307,26.27721672,1.02251213,35.66666667,1.040814267,1.251210308
2006,6,NH05,44.57188014,1.110045993,32,0.806833393,1.120460936,22.61534616,0.799257852,21,0.70928736,0.967484575
2006,7,NH05,3.97592001,0.475956156,16,0.683162484,0.951930482,16.18260005,0.528667383,21.33333333,0.700714887,0.974341108
2006,8,NH05,0,0,16,0.612148784,0.850631907,4.684614718,0.293324805,18.66666667,0.62672668,0.912560273
2006,9,NH05,10.07792414,0.404018258,24,0.584868772,0.93511843,3.359308048,0.134672753,23.66666667,0.632234257,0.978055657
2006,10,NH05,0,0,31,0.699685216,1.148416633,6.909009431,0.490103595,38.33333333,1.03408953,1.296477942
2006,11,NH05,10.64910415,1.066292528,60,1.817714603,1.805898762,4.763561767,0.577652825,50.33333333,1.424362029,1.565242907
2006,12,NH05,3.64158115,0.666665948,60,1.755686269,1.741413325,4.763561767,0.577652825,59.33333333,1.592519479,1.664781525
2007,1,NH05,0,0,58,1.204157564,1.447032489,1.213860383,0.222221983,59.33333333,1.562050154,1.664283149
2007,2,NH05,0,0,60,1.726306628,1.804403632,3.081337896,0.13162582,59.33333333,1.458033159,1.610413117
2007,3,NH05,9.244013688,0.394877461,60,1.443635287,1.579803229,3.081337896,0.13162582,54.33333333,1.423416045,1.598457632
2007,4,NH05,0,0,43,1.100306221,1.411166035,3.702170443,0.222594727,43.33333333,1.131844976,1.339643399
2007,5,NH05,1.86249764,0.272906721,27,0.851593419,1.027960934,0.998164963,0.152849504,29,0.857333613,1.142775871
2007,6,NH05,1.131997248,0.185641792,17,0.6201012,0.989200645,0.998164963,0.152849504,20.66666667,0.697961011,0.993345046
2007,7,NH05,0,0,18,0.622188413,0.96287356,0.377332416,0.061880597,18.33333333,0.617165609,0.97742137
2007,8,NH05,0,0,20,0.609207214,0.980189907,0,0,21.66666667,0.628356778,0.970308727
2007,9,NH05,0,0,27,0.653674707,0.967862714,0.986028162,0.139977599,35.66666667,0.894387129,1.156024181
2007,10,NH05,2.958084487,0.419932798,60,1.420279466,1.520019922,0.986028162,0.139977599,49,1.098620289,1.281068619
2007,11,NH05,0,0,60,1.221906695,1.355323221,0.986028162,0.139977599,60,1.400750897,1.488591167
2007,12,NH05,0,0,60,1.56006653,1.590430358,0,0,60,1.390986613,1.47287679
2008,1,,,,,,,0,0,60,1.52592087,1.58321797
2008,2,NH05,0,0,60,1.49177521,1.576005581,1.548155093,0.140828273,60,1.525507722,1.601242805
2008,3,NH05,3.096310185,0.281656547,60,1.559240234,1.626480029,1.032103395,0.093885516,50,1.27221989,1.471766864
2008,4,NH05,0,0,30,0.765644227,1.212814984,4.453278512,0.374123248,37.66666667,1.047873678,1.296282628
2008,5,NH05,10.26352535,0.840713198,23,0.818736575,1.049552873,11.33388119,0.694494419,22.66666667,0.74610794,1.04407498
2008,6,NH05,23.73811821,1.242770059,15,0.653943019,0.869857083,13.71455937,0.94289876,18.33333333,0.738827368,0.9602582
2008,7,NH05,7.142034564,0.745213023,17,0.74380251,0.961364643,12.41148316,0.88699059,21,0.755265051,1.005669827
2008,8,NH05,6.354296716,0.672988689,31,0.868049626,1.185787754,4.498777093,0.472733904,25,0.815934059,1.092207311
2008,9,NH05,0,0,27,0.835950042,1.129469535,7.806424001,0.48142561,36,0.946793332,1.241671561
